date,begin,high,low,end,volume
2018/1/24 10:00,"10,650","10,650","10,650","10,650",1
2018/1/24 9:00,"10,910","10,910","10,650","10,650",7
2018/1/24 8:00,"10,880","10,970","10,880","10,970",5
2018/1/24 7:00,"11,130","11,130","10,920","10,920",16
2018/1/24 6:00,"11,010","11,200","11,010","11,200",13
2018/1/24 5:00,"11,150","11,200","11,030","11,030",19
2018/1/24 4:00,"11,090","11,130","10,960","11,086",29
2018/1/24 3:00,"11,240","11,300","11,180","11,240",53
2018/1/24 2:00,"11,200","11,380","11,200","11,240",80
2018/1/24 1:00,"11,350","11,410","11,170","11,240",35
2018/1/24 0:00,"10,620","11,430","10,593","11,262",46
2018/1/23 23:00,"10,250","10,720","10,250","10,650",36
2018/1/23 22:00,"10,360","10,440","10,340","10,340",4
2018/1/23 21:00,"10,370","10,370","10,240","10,340",7
2018/1/23 20:00,"10,100","10,460","9,960","10,450",31
2018/1/23 19:00,"10,330","10,430","10,320","10,430",5
,,,,,
2018/1/23 17:00,"10,650","10,770","10,650","10,770",6
2018/1/23 16:00,"10,490","10,490","10,490","10,490",5
2018/1/23 15:00,"10,450","10,450","10,290","10,290",16
2018/1/23 14:00,"10,390","10,550","10,350","10,550",13
2018/1/23 13:00,"10,800","10,800","10,330","10,410",25
2018/1/23 12:00,"10,920","10,920","10,920","10,920",1
2018/1/23 11:00,"10,800","10,840","10,800","10,840",6
2018/1/23 10:00,"10,800","10,830","10,800","10,830",2
2018/1/23 9:00,"10,810","11,000","10,764","11,000",9
2018/1/23 8:00,"10,740","10,820","10,740","10,820",3
2018/1/23 7:00,"10,380","10,730","10,380","10,690",18
2018/1/23 6:00,"10,090","10,502","10,050","10,490",11
2018/1/23 5:00,"10,490","10,490","10,160","10,270",18
2018/1/23 4:00,"10,440","10,640","10,270","10,310",27
2018/1/23 3:00,"10,510","10,570","10,390","10,530",27
2018/1/23 2:00,"10,730","10,730","10,520","10,680",9
2018/1/23 1:00,"10,600","10,690","10,600","10,600",24
2018/1/23 0:00,"10,620","10,620","10,330","10,500",10
2018/1/22 23:00,"10,860","10,860","10,510","10,640",17
2018/1/22 22:00,"10,690","10,780","10,420","10,700",42
2018/1/22 21:00,"11,050","11,050","10,640","10,640",24
2018/1/22 20:00,"11,600","11,600","11,320","11,320",23
,,,,,
2018/1/22 18:00,"11,860","11,860","11,720","11,720",3
