date,begin,high,low,end,volume
2018/2/1 2:00,"10,035","10,035","10,000","10,000",2
2018/2/1 1:00,"9,885","9,915","9,885","9,915",3
2018/2/1 0:00,"9,865","9,880","9,800","9,880",3
2018/1/31 23:00,"9,990","10,020","9,760","9,760",7
2018/1/31 22:00,"10,185","10,185","9,980","9,980",8
,,,,,
2018/1/31 20:00,"10,140","10,195","10,140","10,180",3
2018/1/31 19:00,"10,090","10,090","10,090","10,090",1
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/31 14:00,"9,620","9,620","9,580","9,580",4
2018/1/31 13:00,"9,750","9,750","9,725","9,730",4
,,,,,
2018/1/31 11:00,"9,750","9,750","9,750","9,750",1
2018/1/31 10:00,"9,580","9,770","9,495","9,560",35
2018/1/31 9:00,"9,940","9,940","9,580","9,655",13
2018/1/31 8:00,"9,980","9,980","9,940","9,940",2
,,,,,
2018/1/31 6:00,"10,050","10,050","10,050","10,050",1
2018/1/31 5:00,"10,095","10,140","9,935","10,080",13
2018/1/31 4:00,"9,875","10,275","9,825","10,200",30
2018/1/31 3:00,"10,100","10,100","9,725","9,950",43
2018/1/31 2:00,"10,360","10,385","10,245","10,245",5
2018/1/31 1:00,"10,335","10,400","10,330","10,400",7
2018/1/31 0:00,"10,555","10,555","10,250","10,270",9
2018/1/30 23:00,"10,490","10,595","10,480","10,595",24
2018/1/30 22:00,"10,885","10,885","10,400","10,415",16
,,,,,
2018/1/30 20:00,"10,950","11,025","10,950","11,025",2
2018/1/30 19:00,"10,880","10,880","10,880","10,880",1
2018/1/30 18:00,"10,940","10,955","10,940","10,955",7
,,,,,
2018/1/30 16:00,"10,980","10,980","10,980","10,980",1
,,,,,
,,,,,
2018/1/30 13:00,"11,060","11,060","11,060","11,060",2
2018/1/30 12:00,"10,875","10,875","10,835","10,850",5
2018/1/30 11:00,"10,980","10,980","10,980","10,980",1
2018/1/30 10:00,"11,120","11,120","10,930","10,930",13
,,,,,
,,,,,
,,,,,
2018/1/30 6:00,"11,225","11,225","11,220","11,220",2
,,,,,
,,,,,
,,,,,
2018/1/30 2:00,"11,310","11,320","11,245","11,320",3
2018/1/30 1:00,"11,310","11,320","11,235","11,260",4
2018/1/30 0:00,"11,225","11,295","11,160","11,295",6
2018/1/29 23:00,"11,245","11,270","11,220","11,220",7
2018/1/29 22:00,"11,085","11,085","11,085","11,085",3
2018/1/29 21:00,"11,100","11,100","11,100","11,100",1
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/29 16:00,"11,160","11,160","11,155","11,155",2
2018/1/29 15:00,"11,515","11,520","11,185","11,185",5
2018/1/29 14:00,"11,515","11,515","11,515","11,515",1
,,,,,
,,,,,
,,,,,
2018/1/29 10:00,"11,550","11,550","11,335","11,490",5
2018/1/29 9:00,"11,820","11,820","11,730","11,755",11
2018/1/29 8:00,"11,780","11,780","11,695","11,695",4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/27 6:00,"10,960","10,960","10,885","10,885",3
2018/1/27 5:00,"11,000","11,000","11,000","11,000",2
2018/1/27 4:00,"10,900","10,900","10,900","10,900",1
,,,,,
2018/1/27 2:00,"11,175","11,175","11,150","11,150",2
2018/1/27 1:00,"11,110","11,255","11,110","11,175",6
2018/1/27 0:00,"10,790","11,005","10,790","11,005",6
2018/1/26 23:00,"10,640","10,820","10,640","10,800",16
