btcdate,btcbegin,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2017-12-19 04:00:00,18470.4883,19400.0,19510.0,19400.0,19420.0,3.0
2017-12-19 05:00:00,18738.9961,19482.5,19582.5,19482.5,19515.0,2.75
2017-12-19 06:00:00,18634.2578,19565.0,19655.0,19565.0,19610.0,2.5
2017-12-19 07:00:00,18674.4766,19647.5,19727.5,19647.5,19705.0,2.25
2017-12-19 08:00:00,18757.7031,19730.0,19800.0,19730.0,19800.0,2.0
2017-12-19 09:00:00,18931.0684,19600.0,19600.0,19600.0,19600.0,1.0
2017-12-19 10:00:00,18762.4863,19565.0,19565.0,19565.0,19565.0,1.0
2017-12-19 11:00:00,18733.7227,19530.0,19530.0,19530.0,19530.0,1.0
2017-12-19 12:00:00,18765.625,19750.0,19940.0,19750.0,19940.0,4.0
2017-12-19 13:00:00,18918.6602,19750.0,19845.0,19750.0,19845.0,2.5
2017-12-19 14:00:00,18838.9805,19750.0,19750.0,19750.0,19750.0,1.0
2017-12-19 15:00:00,18787.2109,19750.0,19940.0,19750.0,19940.0,4.0
2017-12-19 16:00:00,18679.5234,19950.0,19950.0,19886.0,19886.0,5.0
2017-12-19 17:00:00,18743.2949,19900.0,19900.0,19800.0,19800.0,9.0
2017-12-19 18:00:00,18796.5313,19250.0,19250.0,19250.0,19250.0,1.0
2017-12-19 19:00:00,18607.2734,18980.0,19080.0,18870.0,18870.0,7.0
2017-12-19 20:00:00,18236.5547,18740.0,18740.0,18550.0,18550.0,3.0
2017-12-19 21:00:00,17752.3828,18960.0,19110.0,18960.0,19110.0,2.0
2017-12-19 22:00:00,17956.8281,19000.0,19000.0,18690.0,18720.0,14.0
2017-12-19 23:00:00,18045.5664,18570.0,18770.0,18540.0,18770.0,7.0
2017-12-20 00:00:00,17894.748,18650.0,18800.0,18650.0,18800.0,4.0
2017-12-20 01:00:00,17912.8828,18790.0,19440.0,18790.0,19440.0,4.0
2017-12-20 02:00:00,18305.4336,18850.0,18850.0,18840.0,18840.0,2.0
2017-12-20 03:00:00,18223.6563,18940.0,19070.0,18940.0,18940.0,3.0
2017-12-20 04:00:00,18180.7461,18600.0,18700.0,18550.0,18550.0,5.0
2017-12-20 05:00:00,17876.1953,18460.0,18480.0,18300.0,18300.0,11.0
2017-12-20 06:00:00,17604.625,17800.0,18760.0,17800.0,18760.0,2.0
2017-12-20 07:00:00,16964.3867,17870.0,18190.0,17870.0,18190.0,2.0
2017-12-20 08:00:00,17196.5547,18320.0,18320.0,17610.0,17610.0,2.0
2017-12-20 09:00:00,17589.0605,17000.0,18010.0,16100.0,16640.0,23.0
2017-12-20 10:00:00,16845.5391,17020.0,17020.0,16960.0,16960.0,2.0
2017-12-20 11:00:00,16305.7676,18530.0,18530.0,17650.0,17650.0,2.0
2017-12-20 12:00:00,17189.7031,17880.0,17880.0,17880.0,17880.0,1.0
2017-12-20 13:00:00,16850.2422,17680.0,17680.0,17380.0,17380.0,3.0
2017-12-20 14:00:00,16879.9922,17480.0,17480.0,16880.0,16880.0,5.0
2017-12-20 15:00:00,16461.2363,16690.0,17100.0,16690.0,17100.0,3.0
2017-12-20 16:00:00,16332.3701,17540.0,17540.0,17500.0,17500.0,2.0
2017-12-20 17:00:00,16406.3945,17750.0,17850.0,17750.0,17850.0,2.0
2017-12-20 18:00:00,17019.9648,17950.0,18000.0,17950.0,18000.0,2.0
2017-12-20 19:00:00,16927.1855,17940.0,18150.0,17715.0,18150.0,6.5
2017-12-20 20:00:00,17282.0547,17930.0,18300.0,17480.0,18300.0,11.0
2017-12-20 21:00:00,17365.9023,18280.0,18550.0,18280.0,18380.0,9.0
2017-12-20 22:00:00,17762.9063,17940.0,18120.0,17940.0,18120.0,2.0
2017-12-20 23:00:00,17079.957,18050.0,18050.0,17550.0,17650.0,4.0
2017-12-21 00:00:00,17167.6406,17530.0,17530.0,16810.0,16970.0,11.0
2017-12-21 01:00:00,16449.1309,16750.0,17150.0,16750.0,17150.0,18.0
2017-12-21 02:00:00,16345.5762,17350.0,17375.0,17150.0,17150.0,4.0
2017-12-21 03:00:00,16856.5527,17150.0,17150.0,17150.0,17150.0,3.0
2017-12-21 04:00:00,16809.6523,17150.0,17150.0,17140.0,17140.0,2.0
2017-12-21 05:00:00,16731.7539,17100.0,17100.0,17100.0,17100.0,5.0
2017-12-21 06:00:00,16626.9824,16500.0,16500.0,16500.0,16500.0,1.0
2017-12-21 07:00:00,16210.1279,16780.0,16850.0,16500.0,16810.0,6.0
2017-12-21 08:00:00,16347.6992,16510.0,16635.0,16220.0,16220.0,10.0
2017-12-21 09:00:00,16458.6563,16750.0,16750.0,16750.0,16750.0,1.0
2017-12-21 10:00:00,16668.0664,16890.0,16890.0,16890.0,16890.0,1.0
2017-12-21 11:00:00,16468.0117,16590.0,16600.0,16590.0,16600.0,2.0
2017-12-21 12:00:00,16349.8135,16600.0,17320.0,16600.0,17260.0,8.0
2017-12-21 13:00:00,16919.0703,17470.0,17500.0,17470.0,17500.0,3.0
2017-12-21 14:00:00,16903.5,17200.0,17200.0,17200.0,17200.0,1.0
2017-12-21 15:00:00,16738.9688,17530.0,17530.0,17530.0,17530.0,1.0
2017-12-21 16:00:00,17168.9277,17436.666666666668,17436.666666666668,17350.0,17350.0,2.0
2017-12-21 17:00:00,17027.1094,17343.333333333332,17343.333333333332,17170.0,17170.0,3.0
2017-12-21 18:00:00,16731.4766,17250.0,17250.0,16990.0,16990.0,4.0
2017-12-21 19:00:00,16739.5898,17253.333333333332,17253.333333333332,17053.333333333332,17053.333333333332,4.0
2017-12-21 20:00:00,16563.1445,17256.666666666668,17256.666666666668,17116.666666666668,17116.666666666668,4.0
2017-12-21 21:00:00,16581.6094,17260.0,17260.0,17180.0,17180.0,4.0
2017-12-21 22:00:00,16605.2109,16960.0,16960.0,16700.0,16770.0,12.0
2017-12-21 23:00:00,16163.833,16750.0,16750.0,16150.0,16260.0,22.0
2017-12-22 00:00:00,15921.0449,16110.0,16200.0,15800.0,15990.0,44.0
2017-12-22 01:00:00,15371.0,16020.0,16320.0,15880.0,15900.0,17.0
2017-12-22 02:00:00,15583.5,15680.0,15710.0,15600.0,15710.0,14.0
2017-12-22 03:00:00,15295.5,15850.0,15850.0,15350.0,15710.0,21.0
2017-12-22 04:00:00,15256.5,15540.0,15650.0,15540.0,15620.0,3.0
2017-12-22 05:00:00,15376.5,15700.0,17100.0,15630.0,15630.0,8.0
2017-12-22 06:00:00,15149.5,16660.0,16660.0,16660.0,16660.0,2.0
2017-12-22 07:00:00,15389.1992,16375.0,16375.0,16375.0,16375.0,1.5
2017-12-22 08:00:00,15423.5,16090.0,16090.0,16090.0,16090.0,1.0
2017-12-22 09:00:00,15708.8975,15720.0,15860.0,15000.0,15000.0,11.0
2017-12-22 10:00:00,14986.2744,15000.0,15000.0,14750.0,14750.0,3.0
2017-12-22 11:00:00,14337.5,14000.0,14500.0,13800.0,14500.0,6.0
2017-12-22 12:00:00,13921.2744,14190.0,14840.0,13800.0,14720.0,11.0
2017-12-22 13:00:00,13993.25,14780.0,15240.0,14640.0,14900.0,10.0
2017-12-22 14:00:00,14375.3496,14630.0,14630.0,14630.0,14630.0,1.0
2017-12-22 15:00:00,13741.124,14380.0,14380.0,13000.0,13840.0,25.0
2017-12-22 16:00:00,13183.1738,13590.0,14280.0,13490.0,13740.0,39.0
2017-12-22 17:00:00,12856.4238,14060.0,14380.0,13900.0,14380.0,12.0
2017-12-22 18:00:00,13156.0488,14130.0,14530.0,14130.0,14530.0,4.0
2017-12-22 19:00:00,13765.8984,14650.0,14650.0,14330.0,14330.0,2.0
2017-12-22 20:00:00,14194.0996,14290.0,14290.0,14290.0,14290.0,1.0
2017-12-22 21:00:00,13783.665,14430.0,14470.0,12940.0,12940.0,14.0
2017-12-22 22:00:00,13607.0693,13240.0,13450.0,11780.0,12250.0,40.0
2017-12-22 23:00:00,11942.5557,12250.0,13040.0,11600.0,13040.0,50.0
2017-12-23 00:00:00,12029.5,12900.0,13500.0,12560.0,12570.0,21.0
2017-12-23 01:00:00,13071.2139,12770.0,13490.0,12770.0,13450.0,24.0
2017-12-23 02:00:00,12745.6484,13380.0,13380.0,12890.0,13250.0,16.0
2017-12-23 03:00:00,12832.21,13440.0,13720.0,13360.0,13460.0,14.0
2017-12-23 04:00:00,13460.7949,13400.0,13820.0,13060.0,13820.0,16.0
2017-12-23 05:00:00,13292.5293,14000.0,14400.0,14000.0,14330.0,13.0
2017-12-23 06:00:00,14327.6992,13991.666666666666,14378.333333333334,13991.666666666666,14310.666666666666,12.600000000000001
2017-12-25 03:00:00,13082.833,13983.333333333334,14356.666666666666,13983.333333333334,14291.333333333334,12.200000000000001
2017-12-25 04:00:00,12950.0205,13975.0,14335.0,13975.0,14272.0,11.8
2017-12-25 05:00:00,12788.5645,13966.666666666666,14313.333333333334,13966.666666666666,14252.666666666666,11.4
2017-12-25 06:00:00,13379.8672,13958.333333333334,14291.666666666666,13958.333333333334,14233.333333333334,11.0
2017-12-25 07:00:00,13147.9902,13950.0,14270.0,13950.0,14214.0,10.600000000000001
2017-12-25 08:00:00,13692.5391,13941.666666666666,14248.333333333334,13941.666666666666,14194.666666666666,10.200000000000001
2017-12-25 09:00:00,14083.0049,13933.333333333334,14226.666666666666,13933.333333333334,14175.333333333334,9.8
2017-12-25 10:00:00,13941.2852,13925.0,14205.0,13925.0,14156.0,9.4
2017-12-25 11:00:00,13920.3105,13916.666666666666,14183.333333333334,13916.666666666666,14136.666666666666,9.0
2017-12-25 12:00:00,13510.0898,13908.333333333334,14161.666666666666,13908.333333333334,14117.333333333334,8.600000000000001
2017-12-25 13:00:00,13436.8965,13900.0,14140.0,13900.0,14098.0,8.2
2017-12-25 14:00:00,13861.625,13891.666666666666,14118.333333333334,13891.666666666666,14078.666666666666,7.800000000000001
