btcdate,btcbegin,btchigh,btclow,btcend,cboedate,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2018/1/31 4:00,9961.3496,10304.9395,9773.0918,10196.0684,2018/1/31 4:00,10250 ,10250 ,9990 ,10120 ,83 
2018/1/31 3:00,10155.4355,10156.6348,9774.7383,9961.3496,2018/1/31 3:00,9960 ,10060 ,9710 ,10000 ,49 
2018/1/31 2:00,10360.7793,10451.334,10151.4063,10155.4355,2018/1/31 2:00,10380 ,10380 ,9740 ,9930 ,92 
2018/1/31 1:00,10291.1152,10441.2148,10290.0059,10360.7793,2018/1/31 1:00,10410 ,10450 ,10360 ,10420 ,12 
2018/1/31 0:00,10530.7598,10548.6191,10204.7051,10291.1152,2018/1/31 0:00,10370 ,10420 ,10200 ,10420 ,32 
2018/1/30 23:00,10444.9961,10589.4258,10422.8584,10530.7598,2018/1/30 23:00,10500 ,10530 ,10280 ,10350 ,38 
2018/1/30 22:00,10890.0996,10895.2773,10401.7598,10444.9961,2018/1/30 22:00,10650 ,10650 ,10370 ,10550 ,74 
2018/1/30 21:00,10934.9961,10981.3867,10868.3076,10890.0996,2018/1/30 21:00,10810 ,10810 ,10740 ,10740 ,11 
2018/1/30 20:00,10879.3047,10951.7236,10816.7988,10934.9961,2018/1/30 20:00,,,,,
2018/1/30 19:00,10868.998,10890.0654,10800.5947,10879.3047,2018/1/30 19:00,10860 ,10860 ,10820 ,10820 ,3 
2018/1/30 18:00,11020.9375,11054.8984,10816.9834,10868.998,2018/1/30 18:00,10810 ,10890 ,10810 ,10870 ,13 
2018/1/30 17:00,11012.8496,11070.2441,10992.0879,11020.9375,2018/1/30 17:00,11040 ,11040 ,10900 ,10920 ,19 
2018/1/30 16:00,10918.8145,11024.9395,10875.375,11012.8496,2018/1/30 16:00,10960 ,11080 ,10920 ,11030 ,30 
2018/1/30 15:00,10959.5713,11000.998,10910.4014,10918.8145,2018/1/30 15:00,10900 ,10920 ,10880 ,10910 ,16 
2018/1/30 14:00,10954.752,11006.4082,10939.5498,10959.5713,2018/1/30 14:00,,,,,
2018/1/30 13:00,10917.1289,11031.8535,10893.8887,10956.1719,2018/1/30 13:00,,,,,
2018/1/30 12:00,10940.1328,10964.5391,10802.4492,10917.1289,2018/1/30 12:00,10920 ,10920 ,10920 ,10920 ,1 
2018/1/30 11:00,10884.6699,10984.916,10884.6699,10940.1328,2018/1/30 11:00,10970 ,10970 ,10900 ,10900 ,3 
2018/1/30 10:00,11153.6484,11190.9492,10877.7715,10884.6699,2018/1/30 10:00,11020 ,11030 ,10900 ,10990 ,12 
2018/1/30 9:00,11151.0488,11194,11121.1465,11153.6484,2018/1/30 9:00,11210 ,11220 ,11180 ,11180 ,3 
2018/1/30 8:00,11049.0537,11210.1602,11043.9219,11151.0488,2018/1/30 8:00,11200 ,11230 ,11170 ,11220 ,4 
